Nome;isolamento_domiciliare;dimessi_guariti;deceduti;totale_casi;tamponi
Valle d'Aosta;425;10466;467;11384;123017
Provincia Autonoma Trento;708;42790;1351;44914;796823
Provincia Autonoma Bolzano;981;70052;1168;72225;1473701
Friuli-Venezia Giulia;5636;97013;3768;106505;1946009
Abruzzo;6747;63820;2454;73242;1515023
Basilicata;5022;19925;564;25627;358814
Calabria;12001;51133;1116;64632;827038
Campania;78369;325178;6816;411636;4685103
Emilia-Romagna;22230;343060;13088;379577;5969945
Lazio;31643;295041;8006;336474;6618635
Liguria;2635;94534;4282;101782;1537853
Lombardia;36079;753628;33347;825489;10142990
Marche;4442;93288;2991;101024;1191451
Molise;292;12712;488;13514;223544
Piemonte;9467;333451;11504;355810;4264961
Puglia;37467;201369;6262;246349;2380773
Sardegna;14150;40298;1433;56132;1244081
Sicilia;16229;197233;5663;220055;4250948
Toscana;13254;215972;6526;236769;4473632
Umbria;2243;52044;1377;55804;1265968
Veneto;14949;393077;11485;420178;7612358
